,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5154244413359424,5079631766,25年04月11日 13:58,可能因为做车行资金压的多，确实很多人会误以为。,来自福建,5154244592930972,4,可能因为做车行资金压的多，确实很多人会误以为。,5079631766,1919---,https://weibo.com/u/5079631766,母婴育儿博主,库存孩子照片视频，热爱文字。,福建,f,230741,636,4069,"224,622","6,039","505,488","736,149"
1,5154244413359424,5079631766,25年04月12日 10:29,"回复<a href=/n/爱敬敬_ usercard=""name=@爱敬敬_"">@爱敬敬_</a>:哪里复制来的，看到好几个<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />是不是去天眼查<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自江西,5154554388677843,0,回复@爱敬敬_:哪里复制来的，看到好几个[允悲]是不是去天眼查[doge],7862160305,关你西红柿蛋_,https://weibo.com/u/7862160305,,,江西 赣州,m,30,125,320,1,0,39,40
2,5154244413359424,5079631766,25年04月12日 09:47,"回复<a href=/n/爱敬敬_ usercard=""name=@爱敬敬_"">@爱敬敬_</a>:耍啥呢 老胡是udg创始人啊 不是他的是谁的",来自湖北,5154543663317467,0,回复@爱敬敬_:耍啥呢 老胡是udg创始人啊 不是他的是谁的,3164943892,间歇性患者_,https://weibo.com/u/3164943892,,自律即自由,北京 朝阳区,m,138,232,111,77,6,58,141
3,5154244413359424,5079631766,25年04月11日 17:29,"回复<a href=/n/爱敬敬_ usercard=""name=@爱敬敬_"">@爱敬敬_</a>:？他不是大股东？<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自福建,5154297546809850,1,回复@爱敬敬_:？他不是大股东？[允悲],7544775192,蓝海湾的钻石泪,https://weibo.com/u/7544775192,,一言难尽。,海外 爱尔兰,m,82,117,90,6,2,18,26
4,5154244413359424,5079631766,25年04月11日 14:52,"回复<a href=/n/kaikai中古玩家 usercard=""name=@kaikai中古玩家"">@kaikai中古玩家</a>:你说是就是吧<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自日本,5154258086528315,0,回复@kaikai中古玩家:你说是就是吧[打call][打call][打call],5965915370,爱敬敬_,https://weibo.com/u/5965915370,,,重庆 江北区,m,2,49,3,1,0,25,26
5,5154244413359424,5079631766,25年04月11日 14:52,"回复<a href=/n/1919--- usercard=""name=@1919---"">@1919---</a>:认识以后发现，他最擅长的是一本正经地画虎烂，哈哈哈",来自福建,5154258065298384,1,回复@1919---:认识以后发现，他最擅长的是一本正经地画虎烂，哈哈哈,1172789142,kaikai中古玩家,https://weibo.com/u/1172789142,时尚博主,海鲜市场腕表玩家top1 买表、商务合作：xianyupipilu,福建,m,143001,4277,13495,"30,817","7,813","22,772","61,402"
6,5154244413359424,5079631766,25年04月11日 14:51,"回复<a href=/n/爱敬敬_ usercard=""name=@爱敬敬_"">@爱敬敬_</a>:真的是他的。。。",来自福建,5154257795813651,0,回复@爱敬敬_:真的是他的。。。,1172789142,kaikai中古玩家,https://weibo.com/u/1172789142,时尚博主,海鲜市场腕表玩家top1 买表、商务合作：xianyupipilu,福建,m,143001,4277,13495,"30,817","7,813","22,772","61,402"
7,5154244413359424,5079631766,25年04月11日 14:50,"回复<a href=/n/1919--- usercard=""name=@1919---"">@1919---</a>:老胡最多就是一个UDG的小股东，真正的大股东或者大老板又不是他，从行为，言语，谈吐，做事，员工，公司各方面都能看出来。真服了这些网友，觉得UDG是老胡一个人的！",来自日本,5154257493824834,0,回复@1919---:老胡最多就是一个UDG的小股东，真正的大股东或者大老板又不是他，从行为，言语，谈吐，做事，员工，公司各方面都能看出来。真服了这些网友，觉得UDG是老胡一个人的！,5965915370,爱敬敬_,https://weibo.com/u/5965915370,,,重庆 江北区,m,2,49,3,1,0,25,26
8,5154244413359424,5079631766,25年04月11日 14:49,"回复<a href=/n/kaikai中古玩家 usercard=""name=@kaikai中古玩家"">@kaikai中古玩家</a>:我也是被他面相吸引，看上去感觉真诚",来自福建,5154257352526139,1,回复@kaikai中古玩家:我也是被他面相吸引，看上去感觉真诚,5079631766,1919---,https://weibo.com/u/5079631766,母婴育儿博主,库存孩子照片视频，热爱文字。,福建,f,230741,636,4069,"224,622","6,039","505,488","736,149"
9,5154244413359424,5079631766,25年04月11日 14:48,"回复<a href=/n/Yangvip24 usercard=""name=@Yangvip24"">@Yangvip24</a>:冷面笑匠",来自福建,5154257053683868,0,回复@Yangvip24:冷面笑匠,1172789142,kaikai中古玩家,https://weibo.com/u/1172789142,时尚博主,海鲜市场腕表玩家top1 买表、商务合作：xianyupipilu,福建,m,143001,4277,13495,"30,817","7,813","22,772","61,402"
10,5154244413359424,5079631766,25年04月11日 14:47,"回复<a href=/n/kaikai中古玩家 usercard=""name=@kaikai中古玩家"">@kaikai中古玩家</a>:天生搞笑属性<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自浙江,5154256773976423,0,回复@kaikai中古玩家:天生搞笑属性[允悲],6624312702,Yangvip24,https://weibo.com/u/6624312702,,你的照片我看看,其他,m,77,143,13,3,0,113,116
11,5154244413359424,5079631766,25年04月11日 14:33,"回复<a href=/n/1919--- usercard=""name=@1919---"">@1919---</a>:主要是是他相貌很天真无邪",来自福建,5154253204884787,0,回复@1919---:主要是是他相貌很天真无邪,1172789142,kaikai中古玩家,https://weibo.com/u/1172789142,时尚博主,海鲜市场腕表玩家top1 买表、商务合作：xianyupipilu,福建,m,143001,4277,13495,"30,817","7,813","22,772","61,402"
