,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5146683575369928,3689493785,2025-03-21 17:38:02,那就多给已婚二胎的妈妈们机会，不会请婚假了也不会请产假了，上有老下有小，会认真工作。,来自浙江,5146689589740619,85,294,那就多给已婚二胎的妈妈们机会，不会请婚假了也不会请产假了，上有老下有小，会认真工作。,5653001933,nuonuo杭州,https://weibo.com/u/5653001933,,浙江 杭州,f,71,1437,4291,"1,230",36,"2,733","3,999",
1,5146683575369928,3689493785,2025-03-21 17:30:09,"我不信，只要Hr还有女性，就还有遮荫。<img alt=""[吃瓜]"" title=""[吃瓜]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/01/2018new_chigua_org.png"" />",来自广东,5146687607146141,31,155,我不信，只要Hr还有女性，就还有遮荫。[吃瓜],5156139360,肇眸,https://weibo.com/u/5156139360,遇境而当,广东 深圳,m,104,100,1231,62,61,214,337,
2,5146683575369928,3689493785,2025-03-27 08:23:19,极端女拳在割裂社会破坏女性就业环境这个赛道上一骑绝尘,来自河南,5148724319489153,68,61,极端女拳在割裂社会破坏女性就业环境这个赛道上一骑绝尘,2406346905,和月星在水,https://weibo.com/u/2406346905,我把我整个灵魂都给你，连同它的怪癖，耍小脾气，忽明忽暗，一千八百种坏毛病。它真讨厌，只有一点好，爱你。,河南 新乡,f,144,184,9857,"2,815",843,"4,789","8,447",
3,5146683575369928,3689493785,2025-03-21 18:06:25,"确实有些一怀孕就不怎么干活了，经常性迟到早退，生完小孩后工作积极性大降，各种偷懒甩锅；有的人家就正常上班，工作标准跟怀孕前一样，上班期间连生两胎，还升职加薪了 <img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自四川,5146696733692867,10,158,确实有些一怀孕就不怎么干活了，经常性迟到早退，生完小孩后工作积极性大降，各种偷懒甩锅；有的人家就正常上班，工作标准跟怀孕前一样，上班期间连生两胎，还升职加薪了 [笑cry],2461106565,狸大猫猫,https://weibo.com/u/2461106565,,其他,m,202,858,945,3,21,42,66,
4,5146683575369928,3689493785,2025-03-22 10:35:10,恕我直言，对女性最好的保护就是不保护，比如怀孕了企业可以正常辞退，然后国家给孕妇补贴，敢辞退，成本小了，企业就敢正常招聘女性，最终扩大女性就业。,来自山东,5146945561298464,35,88,恕我直言，对女性最好的保护就是不保护，比如怀孕了企业可以正常辞退，然后国家给孕妇补贴，敢辞退，成本小了，企业就敢正常招聘女性，最终扩大女性就业。,3921314109,大有-戊午,https://weibo.com/u/3921314109,v信：dayou960,山东 济南,m,261098,544,8662,"226,245","88,994","1,110,882","1,426,121",情感博主
5,5146683575369928,3689493785,2025-03-21 17:20:47,"做第一个吃螃蟹的人，让后人无螃蟹可吃<img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" />",来自广东,5146685248900202,21,102,做第一个吃螃蟹的人，让后人无螃蟹可吃[挖鼻],6287460625,木系青年-,https://weibo.com/u/6287460625,,其他,m,36,145,82,1,0,24,25,
6,5146683575369928,3689493785,2025-03-26 10:42:13,哈哈哈哈 女权根本不结婚不生小孩 你们打拳也要打对地方 哈哈哈哈笑不活我了,来自江苏,5148396886429010,19,85,哈哈哈哈 女权根本不结婚不生小孩 你们打拳也要打对地方 哈哈哈哈笑不活我了,6843013637,吃vc啦,https://weibo.com/u/6843013637,111,江西 上饶,f,73,85,12,0,0,1,1,
7,5146683575369928,3689493785,2025-03-21 17:33:18,前两天公司财务招人，领导好像说不要女的不知道落实了没有,来自宁夏,5146688399346195,9,41,前两天公司财务招人，领导好像说不要女的不知道落实了没有,5232721955,白帝皇白武男大战白皇帝赫尔佐格,https://weibo.com/u/5232721955,,重庆 忠县,m,7,208,16,9,3,1,13,
8,5146683575369928,3689493785,2025-03-21 19:07:13,"已婚已育的要吗？如果也不要，那公司是不是有什么大病<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自山东,5146712038703192,58,25,已婚已育的要吗？如果也不要，那公司是不是有什么大病[doge],6616059542,三笔划圆,https://weibo.com/u/6616059542,,其他,m,68,340,590,198,59,"2,213","2,470",
9,5146683575369928,3689493785,2025-03-21 17:41:33,"全到体制内了//<a href=/n/尹素叶 usercard=""name=@尹素叶"">@尹素叶</a>:早就不要了，我们公司现在留着的女性都是45+，没有低龄女性了。我估计等我们退休了，公司就成少林寺了，一个女的都没有了。",来自浙江,5146690475001700,6,20,全到体制内了//@尹素叶:早就不要了，我们公司现在留着的女性都是45+，没有低龄女性了。我估计等我们退休了，公司就成少林寺了，一个女的都没有了。,1766786134,内啡肽大胃袋,https://weibo.com/u/1766786134,阳痿,浙江 丽水,m,4402,356,3612,"1,597",175,352,"2,124",
