,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户认证信息,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5117267535202631,5657988489,2025-01-02 22:28:03,不同的意识气质气场差别还是挺大的,来自福建,5118496327074711,1,28,不同的意识气质气场差别还是挺大的,7916300532,来福啦666,https://weibo.com/u/7916300532,光影流动，瞬间永恒,其他,f,1168,135,164,,,,,
1,5117267535202631,5657988489,2024-12-30 17:08:09,了解一下,来自广东,5117328653555164,1,2,了解一下,5308757353,小麽熊-2023,https://weibo.com/u/5308757353,爱股票   爱中医   有思想   有初心,广东 广州,f,57290,516,3223,微博剪辑视频博主,"17,602","56,207","61,725","135,534"
2,5117267535202631,5657988489,2024-12-30 21:03:33,气质,来自安徽,5117387894166851,1,1,气质,5892541778,一凡wyh,https://weibo.com/u/5892541778,烟火人间  各有遗憾,安徽,m,9508,1187,17793,安徽骏源建筑工程有限公司 项目经理 微博原创视频博主,"43,021","31,249","110,365","184,635"
3,5117267535202631,5657988489,2024-12-30 15:40:10,有道理,来自山东,5117306514442628,1,1,有道理,3291704874,旺柴QQ,https://weibo.com/u/3291704874,一个不贪婪的小散户！,山东,m,57422,638,6173,财经博主 财经答主,"52,062","167,607","339,217","558,886"
4,5117267535202631,5657988489,2024-12-30 13:12:04,"学到了<img alt=""[开学季]"" title=""[开学季]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png"" />",来自河北,5117269242546240,1,4,学到了[开学季],6853325924,MD_爱宁的糖糖,https://weibo.com/u/6853325924,不互粉，单取拉黑,河北,f,15448,1751,6547,动漫博主 超话粉丝大咖（摩登兄弟超话） 微博原创视频博主,"138,360","5,304","199,243","342,907"
5,5117267535202631,5657988489,2024-12-30 16:57:25,"新周愉快<img alt=""[兔子]"" title=""[兔子]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_tuzi_org.png"" /><img alt=""[兔子]"" title=""[兔子]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_tuzi_org.png"" />",来自吉林,5117325955041610,0,1,新周愉快[兔子][兔子],3964703613,竹青20240111,https://weibo.com/u/3964703613,沉香腕底润青莲，睿骨凝脂淡淡妍。 不羡浮华千丈锦，独栖心上水云天（只慕文友，不问恩怨，拒绝网恋！勿私聊，勿抄袭）,其他,f,58846,1470,2372,国学博主 超话小主持人（中国诗词大会超话）,"116,333","76,531","432,678","625,542"
6,5117267535202631,5657988489,2024-12-30 16:10:09,感谢分享~~~~！！！,来自陕西,5117314059996558,0,1,感谢分享~~~~！！！,3038801145,文秀佳,https://weibo.com/u/3038801145,希望我这个小可爱，能让你难忘又牵挂！,其他,f,363140,2904,31936,美妆博主 微博原创视频博主 微博VLOG博主 头条文章作者 美妆答主,"410,869","114,084","374,392","899,345"
7,5117267535202631,5657988489,2024-12-30 15:13:38,了解了解,来自河北,5117299835275515,0,1,了解了解,5898383408,9向上,https://weibo.com/u/5898383408,尽享天下美食，体味百味生活！本人发的视频来源网络，如冒犯侵权，私信删除！谢,河北,m,11431,4043,6754,美食博主,,,,
8,5117267535202631,5657988489,2024-12-30 14:04:28,"<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />",来自广东,5117282428392303,0,1,[赞][赞][赞],7852805086,三姐的退休生活,https://weibo.com/u/7852805086,70后，从豫南，到深圳。 退休的三姐，在此记录这一路的风景与人情，希望你也喜欢。,其他,f,19406,1960,941,摄影博主 超话创作官（摄影超话）,"23,157",642,"68,277","92,076"
9,5117267535202631,5657988489,2024-12-30 13:06:24,太棒了视频,来自江苏,5117267820151222,1,1,太棒了视频,6495543529,忘忧阅读,https://weibo.com/u/6495543529,心有书香，不畏浮世,其他,f,100307,2301,23706,读物博主 超话创作官（中国文学超话）,"66,803","9,819","149,488","226,110"
