,main_body_mid,main_body_uid,发布时间,处理内容,mid,回复数量,点赞数量,原生内容,评论地点,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5149095938493540,5446651766,2025-03-28 13:40:05,"奖品名称：现金奖品*20人；抽奖时间：2025-03-29 20:00:00；抽奖规则：<a target=""_blank"" href=""https://lottery.media.weibo.com/lottery/h5/history/list?mid=5149095938493540&mark_id=999_reallog_mark_ad%3A999%7CWeiboADNatural""><img class=""icon-link"" title=""http://t.cn/A6BFxW5d"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""/>抽奖详情</a>",5149166422462477,0,1,奖品名称：现金奖品*20人；抽奖时间：2025-03-29 20:00:00；抽奖规则：http://t.cn/A6BFxW5d,,5581785513,微博抽奖平台,https://weibo.com/u/5581785513,微博抽奖平台官方账号,微博官方唯一抽奖工具--@微博抽奖平台,北京,m,16548564,1327,7780,"4,727,766","6,339,611","12,313,779","23,381,156"
1,5149095938493540,5446651766,2025-03-28 13:41:24,"关注转发，抽20位小可爱送现金红包！<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",5149166758789302,1,1,关注转发，抽20位小可爱送现金红包！[doge][打call],来自湖北,5446651766,麻醉医生凌楚眠,https://weibo.com/u/5446651766,微博2020人气健康医疗大V 麻醉科医师  2023微博年度新知博主,华中科技大学附属协和医院麻醉科医师 丁香园长期合作作者  知乎平台ID：凌楚眠,湖北 武汉,m,3734285,807,7276,"334,912","449,023","3,195,343","3,979,278"
2,5149095938493540,5446651766,2025-03-29 00:26:47,hpv疫苗很早就打了，那时候好像还只有四价,5149329169845575,0,0,hpv疫苗很早就打了，那时候好像还只有四价,来自湖北,5944354604,王家墩墩,https://weibo.com/u/5944354604,,喜欢帅哥,湖北 武汉,f,82,280,161,11,2,64,77
3,5149095938493540,5446651766,2025-03-28 14:37:14,"了解健康知识，守护女性健康<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",5149180806563215,0,0,了解健康知识，守护女性健康[心],来自广东,1781953440,sSYyJjAw,https://weibo.com/u/1781953440,,棒棒哒,广东,f,7442,3674,75860,"1,809","1,400","1,530","4,739"
4,5149095938493540,5446651766,2025-03-29 23:35:46,"打了二价<img alt=""[羞嗒嗒]"" title=""[羞嗒嗒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/df/lxhxiudada_org.gif"" />",5149678720256241,0,0,打了二价[羞嗒嗒],来自山东,6597777500,丫蜜xi西米露,https://weibo.com/u/6597777500,,,山东 济宁,f,14,1236,330,70,2,50,122
5,5149095938493540,5446651766,2025-03-29 19:44:12,中,5149620444858112,0,0,中,来自河北,2123104137,水库岳城,https://weibo.com/u/2123104137,,自知者明，自胜者强,河北,m,161,1458,372,2,0,97,99
6,5149095938493540,5446651766,2025-03-28 14:11:41,转,5149174374862689,0,0,转,来自江苏,2529834692,国产芒果喵喵喵,https://weibo.com/u/2529834692,,,江苏 南京,f,521,2346,20175,"3,794","1,010","4,010","8,814"
7,5149095938493540,5446651766,2025-03-28 13:57:15,"女性健康必须时刻关注着才行<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",5149170742855422,0,0,女性健康必须时刻关注着才行[心],来自天津,7734165766,加菲猫嗯呐,https://weibo.com/u/7734165766,,开心就好啦！,其他,f,49,1079,4896,46,224,49,319
8,5149095938493540,5446651766,2025-03-28 13:47:40,现在好像免费了，以前我们都自费了,5149168332443300,0,0,现在好像免费了，以前我们都自费了,来自江苏,1657023630,花房女巫車厘子,https://weibo.com/u/1657023630,,我是爱园艺，爱小动物，爱运动，爱音乐，爱画画，爱DIY，爱电影，爱生活的野生文艺工作者🙈,江苏 苏州,f,815,513,39792,"43,265","13,637","9,315","66,217"
9,5149095938493540,5446651766,2025-03-28 13:39:10,积极接种疫苗，预防宫颈癌风险！,5149166197277051,0,0,积极接种疫苗，预防宫颈癌风险！,来自福建,6318412041,保温杯是蓝色的,https://weibo.com/u/6318412041,,💜,黑龙江 黑河,f,56,889,1574,17,0,7,24
