,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5155254540435779,1969179515,2025-04-14 13:04:39,"倒也不是，其实是因为短剧的剧本大多都是由各种网文小说改编的。很多小说都好多好多年前了。因为主要受众是男性，所以当时小说作者的这个群体当时都是这么写的，受众不是女性，所以他们也就不会往女性的爽点上写<img alt=""[举手]"" title=""[举手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fd/2022_raisehand_org.png"" /> 再加上大多数短剧制作方都不想费事，他们才不会去润色剧本或者是再创作的<img alt=""[awsl]"" title=""[awsl]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/14/moren_awsl02_org.png"" />",来自北京,5155318100920863,2,1,倒也不是，其实是因为短剧的剧本大多都是由各种网文小说改编的。很多小说都好多好多年前了。因为主要受众是男性，所以当时小说作者的这个群体当时都是这么写的，受众不是女性，所以他们也就不会往女性的爽点上写[举手] 再加上大多数短剧制作方都不想费事，他们才不会去润色剧本或者是再创作的[awsl],5399327491,我是笑语XY,https://weibo.com/u/5399327491,配音配音，我配！！,山东 青岛,m,67,386,37,28,0,167,195,
1,5155254540435779,1969179515,2025-04-14 10:14:16,"其实是给春心萌动的中学生和阿姨妈妈看的，和洗马那种霸总追妻有声是同一批受众<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自上海,5155275221239280,1,6,其实是给春心萌动的中学生和阿姨妈妈看的，和洗马那种霸总追妻有声是同一批受众[允悲],1812858733,cv水原-卓思源,https://weibo.com/u/1812858733,配音演员 卓思源。出发吧麦芬-麦芬，无期迷途-泰特拉，原神-岚姐，崩坏3-胡狼，蔚蓝档案-七神凛，魔兽-丹妮卡，前《三国杀》配音导演。扣扣444637450,上海 闸北区,f,25320,2513,6751,"24,118","51,418","55,663","131,199",
2,5155254540435779,1969179515,2025-04-14 08:54:49,"不喜欢看短剧的我<img alt=""[淡淡的]"" title=""[淡淡的]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7b/2024_takearest_org.png"" />",来自湖南,5155255228041956,2,2,不喜欢看短剧的我[淡淡的],7883529130,根喵耶是只缅因喵x10087,https://weibo.com/u/7883529130,见过根喵耶两次啦🥰🫶🏻 海枯石烂的太少🫣地老天荒的好早🙏,其他,f,94,302,625,"2,578",42,"7,875","10,495",
3,5155254540435779,1969179515,2025-04-14 09:48:04,因为这几年倒退的厉害……之前还有个宫斗游戏宣传母凭子贵，从制作组到配音大家也都是麻木地赚钱没得感情的,来自北京,5155268628320170,1,0,因为这几年倒退的厉害……之前还有个宫斗游戏宣传母凭子贵，从制作组到配音大家也都是麻木地赚钱没得感情的,2270544750,梨梨梨小笼,https://weibo.com/u/2270544750,啊偶,海外,f,1955,303,4003,"7,948","6,053","4,420","18,421",
4,5155254540435779,1969179515,2025-04-15 15:16:29,"我妈天天看短剧，之前我还会跟她说男主做的不对男主妈妈对待自己儿子骗小姑娘结婚不对等等，她用很多话给短剧推辞，我就没说过了<img alt=""[跪了]"" title=""[跪了]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/75/2018new_gui_org.png"" />",来自河南,5155713665205956,2,0,我妈天天看短剧，之前我还会跟她说男主做的不对男主妈妈对待自己儿子骗小姑娘结婚不对等等，她用很多话给短剧推辞，我就没说过了[跪了],7897492236,零3贰7,https://weibo.com/u/7897492236,stsmieamm,其他,f,33,181,114,201,6,894,"1,101",
5,5155254540435779,1969179515,2025-04-14 19:41:37,"一直很想知道导演在想什么<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />",来自山东,5155418000329151,1,0,一直很想知道导演在想什么[good],6357914125,Drunk217,https://weibo.com/u/6357914125,,其他,f,5,153,20,0,0,11,11,
6,5155254540435779,1969179515,2025-04-16 14:15:27,"看到那种把女主当日本人虐搞雌竞两女争一男女主咋咋咋就为衬托男主的那种戏真的很想死，感觉眼睛进了脏东西，新世纪了就不能传递点正能量<img alt=""[拜拜]"" title=""[拜拜]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fd/2018new_baibai_org.png"" /><img alt=""[拜拜]"" title=""[拜拜]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fd/2018new_baibai_org.png"" /><img alt=""[拜拜]"" title=""[拜拜]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/fd/2018new_baibai_org.png"" />",来自加拿大,5156060693531463,1,0,看到那种把女主当日本人虐搞雌竞两女争一男女主咋咋咋就为衬托男主的那种戏真的很想死，感觉眼睛进了脏东西，新世纪了就不能传递点正能量[拜拜][拜拜][拜拜],7944698584,Adena就是不死鸟,https://weibo.com/u/7944698584,保持谦虚，戒骄戒躁,陕西 西安,f,4,375,20,4,0,31,35,
7,5155254540435779,1969179515,2025-04-14 09:05:52,"而且基本上都是一个套路<img alt=""[摊手]"" title=""[摊手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/62/2018new_tanshou_org.png"" />",来自河南,5155258007553184,1,0,而且基本上都是一个套路[摊手],3916594055,北冥丶宇轩,https://weibo.com/u/3916594055,,河南 郑州,f,63,447,463,33,10,117,160,
8,5155254540435779,1969179515,2025-04-14 20:01:31,有时候刚看一分钟就两眼一黑,来自辽宁,5155423013044922,1,2,有时候刚看一分钟就两眼一黑,6354369395,我服了------------,https://weibo.com/u/6354369395,,辽宁 营口,f,2,70,3,4,0,14,18,
9,5155254540435779,1969179515,2025-04-14 08:53:40,时代在进步 希望创作也能跟上步伐 不断创新 才能吸引更多观众嘛~,来自吃瓜罗伯特,5155254937323925,0,0,时代在进步 希望创作也能跟上步伐 不断创新 才能吸引更多观众嘛~,5606716867,吃瓜罗伯特,https://weibo.com/u/5606716867,微博官方认证机器人,北京,f,406425,0,387,"146,211","6,025","266,478","418,714",娱乐博主
