,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5154522532151676,1685631765,25年04月12日 13:54,男权向外扩张，女权对内挤压。你啥时候听过男人说结了婚的男人不一样了，跟我们聊不到一起了,来自天津,5154605874550069,12,男权向外扩张，女权对内挤压。你啥时候听过男人说结了婚的男人不一样了，跟我们聊不到一起了,5710348754,Morethanriceandbeans,https://weibo.com/u/5710348754,一个用来追剧+吐槽的账号,四川 成都,f,21,61,153,38,0,59,97,
1,5154522532151676,1685631765,25年04月13日 23:05,"回复<a href=/n/299792458m7 usercard=""name=@299792458m7"">@299792458m7</a>:女的给她老公做后勤她老公要交家用，别的女性又不会给她们钱花，人家是一个团队作战<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自四川,5155106900938115,0,回复@299792458m7:女的给她老公做后勤她老公要交家用，别的女性又不会给她们钱花，人家是一个团队作战[笑cry],1634349627,今天不打卡了·,https://weibo.com/u/1634349627,你相信努力吗？,重庆,f,781,753,6434,"3,426",559,"3,334","7,319",
2,5154522532151676,1685631765,25年04月12日 23:36,"回复<a href=/n/Morethanriceandbeans usercard=""name=@Morethanriceandbeans"">@Morethanriceandbeans</a>:是的。",来自上海,5154752259165564,0,回复@Morethanriceandbeans:是的。,1685631765,叶锦安安,https://weibo.com/u/1685631765,商务请联系：Lynndgw,海外,f,518451,923,21518,"595,694","331,611","3,510,435","4,437,740",等江南（上海）文化传播有限公司 投资人
3,5154522532151676,1685631765,25年04月12日 22:59,"回复<a href=/n/叶锦安安 usercard=""name=@叶锦安安"">@叶锦安安</a>:她说要让年轻女孩对婚姻有耻感，我脑子嗡嗡的，这种规训的话术十分恶心，估计年轻女孩听进去了下一步就是进群买课了，就跟年轻女孩听进去父母催婚就去相亲，本质是另一种洗脑，只不过她觉得自己的观念更先进",来自天津,5154743034844658,4,回复@叶锦安安:她说要让年轻女孩对婚姻有耻感，我脑子嗡嗡的，这种规训的话术十分恶心，估计年轻女孩听进去了下一步就是进群买课了，就跟年轻女孩听进去父母催婚就去相亲，本质是另一种洗脑，只不过她觉得自己的观念更先进,5710348754,Morethanriceandbeans,https://weibo.com/u/5710348754,一个用来追剧+吐槽的账号,四川 成都,f,21,61,153,38,0,59,97,
4,5154522532151676,1685631765,25年04月12日 22:23,"回复<a href=/n/299792458m7 usercard=""name=@299792458m7"">@299792458m7</a>:你是怎么得出我瞧不起你的，我对你没兴趣，我对你的观点更没兴趣。",来自天津,5154733854298240,0,回复@299792458m7:你是怎么得出我瞧不起你的，我对你没兴趣，我对你的观点更没兴趣。,5710348754,Morethanriceandbeans,https://weibo.com/u/5710348754,一个用来追剧+吐槽的账号,四川 成都,f,21,61,153,38,0,59,97,
5,5154522532151676,1685631765,25年04月12日 22:14,"回复<a href=/n/Morethanriceandbeans usercard=""name=@Morethanriceandbeans"">@Morethanriceandbeans</a>:你的回复证明了我对你的判断完全没错，话里话外都充满右派的傲慢，如果我要向你证明我的收入，这就很可笑了，中国月薪五千以上的不足一亿人，就算穷也并不可耻，投降才可耻。",来自江苏,5154731676926559,0,回复@Morethanriceandbeans:你的回复证明了我对你的判断完全没错，话里话外都充满右派的傲慢，如果我要向你证明我的收入，这就很可笑了，中国月薪五千以上的不足一亿人，就算穷也并不可耻，投降才可耻。,6531968586,299792458m7,https://weibo.com/u/6531968586,probability,北京,f,222,455,2868,788,"1,362","1,725","3,875",
6,5154522532151676,1685631765,25年04月12日 21:51,"回复<a href=/n/299792458m7 usercard=""name=@299792458m7"">@299792458m7</a>:<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" /><img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" /><img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />我要被你笑死了，你这样你还让别人有耻感，这世界唯一有耻感的事就是没钱没目标，懂吧，88",来自天津,5154725813292637,0,回复@299792458m7:[笑cry][笑cry][笑cry]我要被你笑死了，你这样你还让别人有耻感，这世界唯一有耻感的事就是没钱没目标，懂吧，88,5710348754,Morethanriceandbeans,https://weibo.com/u/5710348754,一个用来追剧+吐槽的账号,四川 成都,f,21,61,153,38,0,59,97,
7,5154522532151676,1685631765,25年04月12日 21:46,"回复<a href=/n/Morethanriceandbeans usercard=""name=@Morethanriceandbeans"">@Morethanriceandbeans</a>:我不仅要说，我还要时时刻刻的说，话呢，也不是说过结婚的人听的，而是说给那些还没有走入婚姻的小女孩听的，要让她们有一种耻感——做上门媳妇并不光荣，失权并不光荣",来自江苏,5154724542157257,4,回复@Morethanriceandbeans:我不仅要说，我还要时时刻刻的说，话呢，也不是说过结婚的人听的，而是说给那些还没有走入婚姻的小女孩听的，要让她们有一种耻感——做上门媳妇并不光荣，失权并不光荣,6531968586,299792458m7,https://weibo.com/u/6531968586,probability,北京,f,222,455,2868,788,"1,362","1,725","3,875",
8,5154522532151676,1685631765,25年04月12日 21:43,"回复<a href=/n/299792458m7 usercard=""name=@299792458m7"">@299792458m7</a>:那开除这些人啊，反正她们结婚了，好过不好过跟单身女又有什么关系呢。你认为她们投靠男人了，那就不要给眼神啊，你认为她们是男权的帮凶，那就远离啊，是不是。你团结你觉得可以团结的不就好了",来自天津,5154723835157937,0,回复@299792458m7:那开除这些人啊，反正她们结婚了，好过不好过跟单身女又有什么关系呢。你认为她们投靠男人了，那就不要给眼神啊，你认为她们是男权的帮凶，那就远离啊，是不是。你团结你觉得可以团结的不就好了,5710348754,Morethanriceandbeans,https://weibo.com/u/5710348754,一个用来追剧+吐槽的账号,四川 成都,f,21,61,153,38,0,59,97,
9,5154522532151676,1685631765,25年04月12日 21:35,"回复<a href=/n/299792458m7 usercard=""name=@299792458m7"">@299792458m7</a>:所以呢？你的观点不是再次验证了女人瞧不起女人吗。",来自天津,5154721792525108,3,回复@299792458m7:所以呢？你的观点不是再次验证了女人瞧不起女人吗。,5710348754,Morethanriceandbeans,https://weibo.com/u/5710348754,一个用来追剧+吐槽的账号,四川 成都,f,21,61,153,38,0,59,97,
10,5154522532151676,1685631765,25年04月12日 21:31,"回复<a href=/n/Morethanriceandbeans usercard=""name=@Morethanriceandbeans"">@Morethanriceandbeans</a>:男人不会排挤结了婚的男人，但是他们会排挤上门女婿，而女人个个都是上门媳妇，给男人搞后勤还不自知，一副很光荣的样子。",来自江苏,5154720856408524,9,回复@Morethanriceandbeans:男人不会排挤结了婚的男人，但是他们会排挤上门女婿，而女人个个都是上门媳妇，给男人搞后勤还不自知，一副很光荣的样子。,6531968586,299792458m7,https://weibo.com/u/6531968586,probability,北京,f,222,455,2868,788,"1,362","1,725","3,875",
