,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户认证信息,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5154204131525195,2004657843,2025-04-12 03:48:01,压力太大了,来自上海,5154453241987362,0,0,压力太大了,7592049244,蹦蹦857,https://weibo.com/u/7592049244,,其他,m,362,1837,1,,,,,
1,5154204131525195,2004657843,2025-04-11 11:19:44,看到你的分享，感受到了那份重压下的挣扎。你已经很勇敢了，为自己和家人打拼。但记得，生活不是只有牺牲，也要学会释放。试着找寻那些能让你放松的小确幸，哪怕只是短暂的逃离，也是对自我的一种温柔呵护。,来自罗伯特聪明版,5154204532868628,0,0,看到你的分享，感受到了那份重压下的挣扎。你已经很勇敢了，为自己和家人打拼。但记得，生活不是只有牺牲，也要学会释放。试着找寻那些能让你放松的小确幸，哪怕只是短暂的逃离，也是对自我的一种温柔呵护。,5762999670,评论罗伯特,https://weibo.com/u/5762999670,微博官方认证机器人,海外,f,1729259,19,99,互联网科技博主,"315,738","47,147","788,313","1,151,198"
2,5154204131525195,2004657843,2025-04-13 14:37:27,加油，我们两个的小朋友一样大,来自上海,5154979066938408,0,0,加油，我们两个的小朋友一样大,3607730211,喜悦生鱼片,https://weibo.com/u/3607730211,热爱时尚，热爱美妆，热爱吃火锅,上海 浦东新区,f,146,168,403,,235,6,433,674
3,5154204131525195,2004657843,2025-04-12 12:47:43,房贷的压力,来自上海,5154589067446639,0,1,房贷的压力,3268473925,奔赴下一场人生了,https://weibo.com/u/3268473925,,河南 商丘,f,61,552,2,,0,0,0,0
4,5154204131525195,2004657843,2025-04-12 08:59:53,加油  陌生人,来自上海,5154531726592773,0,0,加油  陌生人,6207637174,王你大爷的毛线,https://weibo.com/u/6207637174,没有惊喜 没有意外,上海,m,155,344,85,,,,,
5,5154204131525195,2004657843,2025-04-12 07:12:16,一样,来自上海,5154504643707866,0,0,一样,2256898781,left_join,https://weibo.com/u/2256898781,在爱与不爱间来回千万遍,上海,m,2708,570,3787,,"7,299",600,"3,311","11,210"
6,5154204131525195,2004657843,2025-04-12 03:11:02,卖房,来自上海,5154443935875300,0,0,卖房,6287403369,星星3458,https://weibo.com/u/6287403369,,其他,m,351,330,20,,,,,
7,5154204131525195,2004657843,2025-04-11 16:37:55,坚持住！,来自浙江,5154284606852429,0,0,坚持住！,2104073823,i-菜园,https://weibo.com/u/2104073823,敬天爱人,上海 徐汇区,m,186,130,4224,,357,129,408,894
8,5154204131525195,2004657843,2025-04-12 01:31:53,停一下 在力争上游,来自上海,5154418984225587,0,0,停一下 在力争上游,7991199598,魔都-研房,https://weibo.com/u/7991199598,💥💥黄浦区 陆家嘴租房买房房屋托管➕装修，一手新房 带你沉浸式看房✌️✌️24小时在线服务,其他,m,1,0,2,,1,1,0,2
9,5154204131525195,2004657843,2025-04-11 23:06:47,抱抱友友,来自上海,5154382468357068,0,0,抱抱友友,7991308204,吃饭的棕熊,https://weibo.com/u/7991308204,,上海,m,112,74,3,,0,0,4,4
10,5154204131525195,2004657843,2025-04-12 01:50:55,下雨了,来自上海,5154423774118547,0,0,下雨了,7702011906,沪室内设计师,https://weibo.com/u/7702011906,知不足而奋进，望远山而前行， 历千帆而归来，经万苦而不减热爱,其他,m,18,7,0,,0,0,0,0
